feature,anova_f,anova_p,mutual_info,random_forest,anova_rank,mi_rank,rf_rank,mean_rank
battery_v__lag_1,257.68614817481983,1.5330990214738749e-57,1.9591816224937268,1.900296440772102e-08,116.0,50.0,149.0,105.0
humidity_percent_iqr_120,673.0650610785355,2.0675916343045075e-145,0.6860913882715951,1.1500598994299175e-07,95.0,111.0,109.0,105.0
humidity_percent__delta1,9.447993254582983,0.0021173384677740563,0.16397160387828125,4.211595589876138e-07,137.0,143.0,36.0,105.33333333333333
temperature_c_iqr_180,589.5203936496199,6.307421530750693e-128,0.7797240264435339,1.0619305938847224e-07,100.0,106.0,111.0,105.66666666666667
battery_v__lag_5,257.55207871173167,1.6380785194169292e-57,1.9586011778863628,1.947645738780686e-08,119.0,52.0,148.0,106.33333333333333
light_raw_iqr_30,1062.12198510585,1.139715247498802e-225,0.5410512775045855,1.0555166500619924e-07,85.0,122.0,112.0,106.33333333333333
solar_raw_iqr_240,1030.080961956647,3.944670753087283e-219,0.8522302301522036,4.39263123632739e-08,87.0,99.0,133.0,106.33333333333333
battery_v__lag_15,257.6676067028643,1.5472063841509362e-57,1.9548423974732119,1.8460170153800605e-08,117.0,53.0,150.0,106.66666666666667
solar_raw_iqr_180,902.1342262551176,6.810349405700205e-193,0.7868983045994353,5.202491889394877e-08,89.0,103.0,129.0,107.0
battery_v__kurt_1h,29.335195329759685,6.175358712963291e-08,0.3324844412343593,2.4876817663283385e-07,131.0,133.0,60.0,108.0
solar_raw_iqr_120,864.5275511270122,3.8301503353896794e-185,0.6403756111522889,8.271234377798033e-08,92.0,113.0,120.0,108.33333333333333
temperature_c_iqr_120,271.286318707288,1.858548758877323e-60,0.6235709540278385,1.310085032590857e-07,107.0,116.0,102.0,108.33333333333333
humidity_percent_iqr_90,445.89307722627575,1.1880894206119628e-97,0.5809350860769364,1.1845354991764548e-07,103.0,118.0,105.0,108.66666666666667
hour_bin,1412.8878246819554,1.85189442522351e-296,0.8735158077912522,4.6664894615257575e-09,74.0,97.0,156.0,109.0
battery_v__roll_std_60m,39.333089546100545,3.664536342904424e-10,0.3442124566244984,2.3501417233435747e-07,130.0,132.0,66.0,109.33333333333333
solar_raw_iqr_90,887.3108135763606,7.689699697980354e-190,0.5603347296037966,6.839744077804924e-08,90.0,121.0,125.0,112.0
solar_raw__roll_range_15m,629.0716354236481,3.2445177882922713e-136,0.5345348169340509,8.331211687491691e-08,97.0,124.0,119.0,113.33333333333333
humidity_percent_iqr_60,257.947829786814,1.3471856382567828e-57,0.46813566704159726,1.1813920239644195e-07,110.0,128.0,106.0,114.66666666666667
humidity_percent__delta2,0.047094152176914775,0.8282018444059525,0.08643664505103077,3.5382792255862095e-07,152.0,151.0,43.0,115.33333333333333
solar_raw_iqr_60,808.516630545238,1.4410899151258581e-173,0.4801830183171285,5.6865347369086283e-08,93.0,127.0,128.0,116.0
humidity_percent_iqr_30,102.34484985936746,5.502955098049192e-24,0.32295578632395605,1.7661150271384044e-07,126.0,134.0,88.0,116.0
temperature_c_iqr_90,151.13692126145915,1.3983848391568923e-34,0.5131588100642692,1.4589031395284175e-07,125.0,125.0,99.0,116.33333333333333
light_raw__delta2,0.8095566529878699,0.3682648209296143,0.10512474293480834,2.704246898592827e-07,145.0,150.0,54.0,116.33333333333333
